school_zone,public_school_enrollment,private,total
343,4172.6253459871541,2614.4763785968162,6787.10172458397
344,94.802626569511105,0,94.8026265695111
345,6592.8109576004181,7392.9355293769204,13985.74648697734
346,5715.3355900868683,0,5715.335590086868
347,304.27198156430899,0,304.271981564309
348,22442.4722703472,289.79924692186091,22732.271517269062
349,1254.1020404613732,0,1254.1020404613732
350,844.36128419407498,0,844.3612841940751
351,13433.444378007953,2344.5408715628291,15777.985249570782
352,12314.319301787402,258.50486727089998,12572.824169058302
353,930.87169789050495,0,930.871697890505
354,-,-,0
355,-,-,0
356,12354.573281242896,1164.2365554025071,13518.809836645403
357,23688.771621285916,870.458300265297,24559.229921551218
358,-,-,0
359,10816.882457084721,2676.393226700503,13493.275683785225
360,144.4148727638426,1802.3577015341989,1946.7725742980415
361,5787.9364950973895,0,5787.9364950973895
362,400.09401442184003,0,400.09401442184
363,7327.465610605097,25214.752781362611,32542.218391967708
364,8828.1956906017313,23021.235383888998,31849.431074490727
365,951.30503030925172,0,951.3050303092517
366,74.925429143444902,271.254349032486,346.1797781759309
367,6777.8864666433528,2933.4676141297396,9711.354080773093
368,4294.7053355882426,3399.9158106306922,7694.621146218934
369,6732.6787246581516,2338.1631980113448,9070.841922669497
370,14487.584687759951,1662.2975652976829,16149.882253057633
371,12773.494543676228,3736.0830049260398,16509.57754860227
372,9475.1522413540952,3856.7587713759813,13331.911012730076
373,5836.5665389931519,4729.0995035104379,10565.66604250359
374,15926.180044090896,2093.9052264946131,18020.085270585507
375,-,-,0
376,13030.761959463489,1823.5979531562273,14854.359912619717
377,10981.148290309353,2338.7583388297362,13319.906629139088
378,35800.446680880843,1711.3735999319529,37511.8202808128
379,17021.490402458538,1944.0879227432861,18965.578325201823
380,7067.6658971547449,404.87049996844598,7472.53639712319
381,15653.875301320513,388.12005546924701,16041.99535678976
382,-,-,0
383,14212.340110773614,1770.5268150062409,15982.866925779854
384,15322.416367484182,0,15322.416367484182
385,8613.2960797934884,824.51565241012895,9437.811732203618
386,-,-,0
387,766.37590663921605,0,766.375906639216
388,16424.890723703982,948.89107262337893,17373.781796327363
389,501.90971868606499,0,501.90971868606493
390,10446.090684471324,872.57793892898837,11318.668623400314
391,356,34.033356013860299,390.0333560138602
392,-,-,0
393,-,-,0
394,17889.18877312453,1510.3640187917831,19399.55279191631
395,-,-,0
396,20397.200916892882,393.08188168380502,20790.282798576685
397,4048.4007907783221,0,4048.4007907783225
398,15918.605985804932,2657.1183648330939,18575.724350638025
399,18511.092827606837,2733.8067962854857,21244.89962389232
400,18184.200647248352,1366.7022818008659,19550.902929049214
401,18281.604600852159,897.25336697629609,19178.857967828455
402,14273.92709774749,999.88739374314503,15273.814491490635
403,24527.335704516358,0,24527.33570451636
404,26591.343653695971,19613.578451467034,46204.922105163
405,7895.693538528777,0,7895.693538528777
406,1884.0875998542938,0,1884.0875998542936
407,17687.060171892863,13632.30786427284,31319.368036165703
408,9750.9424508797183,9387.0937141047452,19138.036164984464
409,6805.7755330334949,14069.848586860289,20875.624119893782
410,17434.676707513005,909.38628167000502,18344.06298918301
411,9731.928753654609,715.08438366829103,10447.0131373229
412,5430.126449649666,0,5430.126449649666
413,1968.0352290466399,0,1968.03522904664
414,2670.6315789473688,0,2670.631578947369
415,7109.5905716599664,0,7109.590571659966
416,4014.6735351671146,0,4014.6735351671146
417,-,-,0
418,5008.7747596694562,509.5360397953707,5518.310799464827
419,-,-,0
420,2639.4597289369262,61.080376154973301,2700.5401050918995
421,-,-,0
422,6331.7435234776312,226.20015937518201,6557.943682852813
423,-,-,0
424,6057.7608291211927,9910.8388169436639,15968.599646064857
