residence_zone,total_income,mean_family_income,per_capita_income,median_family_income
266,42366778.74579157,5800.92600875054,2116.8571372934725,5388.379665162906
267,48989879.670167424,4178.954164477305,1512.406756920455,3100
268,74502143.56270784,14585.231100832334,5774.017171410349,10000
269,257853486.03451455,19722.616340409597,8784.869379753145,16514.59806571306
270,48906803.40621721,11029.951151605152,5155.682416847692,8200.90669745515
271,,,,
272,79671041.26489465,8900.79781755052,3778.923363131179,8000
273,223532852.28636712,9286.396588690415,3613.2361155155127,7214.762887584927
274,74851839.46411885,5861.996982075255,2353.0914638201457,5012.045949552388
275,127221711.94569346,8088.353483736632,3308.585039677872,7000
276,174056200.30777833,5378.412962974415,1973.8515134527645,4433.86783394358
277,140831643.4772126,6363.258787150404,2443.7634433568587,5000
278,179021145.1784611,4017.7851566885706,1456.0838831241267,3400
279,119079716.80744636,4251.190514836126,1591.2727915150574,3820
280,141197454.83784744,14302.821600268191,5523.508775881059,7129.525775169853
281,175785488.55187145,11367.400966882553,4433.988864973427,8795.539526723149
282,93400783.38910209,6869.725168365842,2577.639944503991,6647.525771628534
283,75175051.82139575,11287.545318527906,4329.861296014038,10800
284,74250479.14742458,3885.2790029587886,1415.5621060268145,3500
285,167869695.87729084,4147.957234903266,1457.2275202459334,4000
286,27749832.23466491,5984.436539716392,2410.7229810324843,5388.379665162906
287,77946027.70878434,7579.349252118264,2835.9478882584804,7129.525775169853
288,51997320.7472263,7827.778113291816,2847.4519876910504,4684.43223736483
289,90591274.96500115,5628.535257222816,2020.0525122642207,4684.43223736483
290,101852138.9876496,5500.7636091839295,1926.0994513549465,5175
291,127459635.47717533,4889.894793662412,1795.0544387400384,4367.73566788716
292,111641448.3350603,4800.659473011917,1715.475780744331,3570.208861475704
293,112774362.33269712,4095.970738121418,1466.4494536324596,3540.4177229514085
294,140675402.6487379,3900.282872594486,1382.273954748778,3540.4177229514085
295,178687588.26834747,3981.65655254943,1381.5231695158336,3540.4177229514085
296,23608627.22600873,3166.495062342231,1106.2568401672231,2600
297,13125805.445944568,6185.5822082679415,2076.5393839494654,5000
298,227258535.62484255,4485.088586201152,1503.1022310877038,4006
299,20832869.770844556,4018.6862983882247,1776.4875731938714,3720.208861475704
300,,,,
301,183401514.47123665,10344.135051959223,4399.594935259716,8795.539526723149
302,84195232.96381666,17975.071085357966,6708.783503092959,14357.101832728828
303,92372390.67610614,11860.861668734751,4859.914277692748,9433.288100955418
304,65683003.78653893,11297.38627219452,4616.785252445278,9150
305,178434094.43659556,6173.096476907748,2430.8166260690086,3550
306,186495564.79361784,4476.609812616844,1640.9784933753729,3950
307,100343537.2043951,3523.9170221034274,1273.9124670474705,3077.891304199693
308,143669473.2862599,3502.5000586833353,1258.6576134413235,3301.063604765382
309,49556294.73051038,3226.696976168518,1253.5741862417883,2675.790152968375
310,91762796.28919736,4254.975252211691,1507.6694973908627,3540.4177229514085
311,29494688.706602484,3179.3347748843785,1135.240703075419,2710
312,105456316.97163685,3636.6598520296334,1340.8645734365373,3300
313,69704750.24587779,4650.703912855467,1745.80484999819,3934.788358321788
314,32880442.61330052,4123.9737380284105,1563.3531101797512,3898.563486461406
