origin_zone,short_distance,expensive_transport,distant_stop_or_station,infrequent_transport,long_travel_time,crowded_transport,physical_activity,fear_of_contagion,other_reasons,total
100,16505.814570858951,402.16479516575896,0,88.264549778223355,0,557.20075562911461,846.77410610571008,0,459.73560015929894,18859.954377697057
101,974.02373566350673,0,0,0,0,0,274.91106212137356,0,0,1248.9347977848802
102,2034.9876306574429,44.708766485253861,0,0,0,0,55.415466574082814,0,0,2135.1118637167797
103,250.86153034408451,0,0,0,0,0,30.441591017544091,0,0,281.3031213616286
104,2045.3808181804322,18.320674412536043,0,18.320674412536043,18.060642397630719,0,15.694155908120669,0,0,2115.7769653112555
105,3777.2303896122794,0,0,0,0,0,226.81041729087201,0,0,4004.0408069031514
106,3956.6202108086395,0,0,0,18.060642397630719,0,82.799149392440029,0,0,4057.4800025987106
107,8912.9592052850658,0,0,0,0,0,71.395876843504055,0,0,8984.35508212857
108,2487.7673927589371,0,0,35.697938421752028,0,0,71.395876843504055,0,0,2594.8612080241933
109,26722.692927756259,0,0,0,0,0,284.31528122255901,0,0,27007.00820897882
110,24283.977210023932,0,0,0,1147.5282583377689,0,0,0,0,25431.505468361705
111,12374.590699329838,0,0,0,0,0,581.91293255842402,0,0,12956.50363188826
112,11620.718012748968,0,0,0,0,0,0,0,0,11620.718012748968
113,14802.152592833396,0,0,35.697938421752028,0,0,297.59765133586495,0,354.0182677130303,15489.466450304044
114,-,-,-,-,-,-,-,-,-,0
115,15555.470288471748,831.42022991264093,0,0,0,0,0,0,0,16386.89051838439
116,88664.84482016218,2039.9903930969299,0,0,0,0,0,0,0,90704.83521325912
117,17559.93214818303,0,0,0,0,0,0,0,0,17559.93214818303
118,9274.5933957364359,0,0,0,0,0,0,0,0,9274.593395736436
119,34439.598650595472,0,0,0,0,0,0,0,0,34439.59865059547
120,-,-,-,-,-,-,-,-,-,0
121,41524.190896597982,1143.7928014289835,0,0,0,0,0,0,1031.4048439238429,43699.38854195081
122,24223.891538180455,0,2088.9751175337524,0,0,0,0,0,0,26312.86665571421
123,26569.743580443486,0,0,0,0,0,0,0,0,26569.743580443486
124,28364.468511091738,0,0,496.11515620372336,584.30193554005882,0,359.25621669190741,0,0,29804.141819527427
125,18228.724319351517,0,0,0,0,0,516.39048671288879,0,0,18745.114806064405
126,14178.53181606352,240.16392867445899,0,0,0,0,0,0,0,14418.69574473798
127,26257.11852265957,240.16392867445899,0,496.11515620372336,0,0,104.80696127795322,0,117.89781150217007,27216.102380317876
128,800.4467877630633,0,0,0,0,0,34.961703201445964,0,0,835.4084909645093
129,3506.5388732835627,0,0,0,0,0,0,0,0,3506.5388732835627
130,3357.445394190906,0,0,39.504642821888417,0,0,0,0,85.06997003765099,3482.020007050445
131,733.93471890925593,0,0,0,0,0,0,0,0,733.934718909256
132,328.12109865039685,0,0,0,0,0,0,0,0,328.12109865039685
133,10521.949460960015,0,0,0,0,0,261.13884984822226,0,0,10783.088310808238
134,9443.4976098713832,0,0,0,0,0,0,0,0,9443.497609871383
135,2972.3413651291612,0,0,0,0,0,0,0,0,2972.341365129161
136,12007.728792252707,1149.5849027134473,0,0,0,0,737.57667698688238,0,85.06997003765099,13979.960341990689
137,17406.695479310907,1149.5849027134473,0,452.99660474680923,0,0,2449.0038621761669,0,0,21458.28084894733
138,7753.8516159947021,137.49235332501888,0,0,0,0,220.89549178984257,0,0,8112.239461109563
139,8663.6848919238637,0,1654.5132028733615,0,0,0,0,0,0,10318.198094797226
140,22558.007706194752,137.49235332501888,0,0,0,0,754.93201289753142,0,0,23450.4320724173
141,61683.237149197972,0,0,455.54337543367757,584.30193554005882,0,3589.5690194813401,0,1031.4048439238429,67344.0563235769
142,23376.399330825625,0,0,0,0,0,0,0,0,23376.399330825625
143,-,-,-,-,-,-,-,-,-,0
144,44300.596403490599,0,0,0,0,0,3094.3895004739543,0,0,47394.98590396455
