origin_zone,industry_work,commerce_work,services_work,education,shopping,health,leisure,job_search,personal_business,meal,total
18,5054.6831963089771,6847.1338844357751,20614.534133908008,17160.858200948591,3875.445348568951,3766.2871555578267,1725.2903492664461,115.90020063772532,5500.1693339450057,653.35381976550923,65313.65562334281
19,1567.59564917224,4903.2963717909515,14040.506729608729,12354.319064734937,1575.172470200109,4788.6908865883797,543.45271539396526,494.66204658289024,1133.4078021080954,290.62119598494507,41691.724932165234
20,2157.439631132228,2527.4044476921313,19595.318932671453,10606.669029024624,1481.7475715216319,1888.8248842571024,1199.2788924019087,0,1658.0045234314446,0,41114.68791213253
21,629.9529041097278,2873.1160409072481,8668.6895550419049,9444.9537513522955,1555.1766538960694,1111.9868287766726,931.5009372488538,0,560.45596084738247,0,25775.83263218015
22,274.08613252332725,1522.5221833065621,10630.012330480246,6186.2224880735503,486.19811709786978,1572.2281541522982,503.06010034004856,0,506.93697255535062,0,21681.26647852925
23,125.5697081687606,1277.7045155218145,13430.621280923911,15368.789526125618,120.5410983086512,8334.9854518878874,1606.6644396154772,0,1420.5494139121943,543.18599238784407,42228.61142685216
24,1858.8288553095754,4521.6323719928478,19342.309687227753,22853.015126161124,1193.1840405441155,4042.5080892155152,848.30065465864004,0,1237.7865312883257,1041.7315387222754,56939.29689512018
25,1328.1878290679338,2109.5349267228935,14094.785948062234,5591.9647113405972,995.68256388852592,1544.1232842809936,2265.9528594249109,0,910.23620245184975,461.08250417607502,29301.550829416017
26,756.11258322288791,900.06439781848269,14355.980591490419,8881.5890235050465,1027.4202974137297,3230.0434981988296,858.799467401676,0,1454.5589064394946,0,31464.568765490567
27,1870.5123242847994,4619.7319643090159,41852.591001850029,13725.475990060788,8072.1925373478598,10616.854670659026,3947.1677364053858,0,2867.2846685119071,1690.1788457364778,89261.98973916529
28,1403.1824466769731,2540.2551370214819,19827.269239019879,10038.744183275074,1238.169437463102,3334.9315438751196,3109.578069006363,584.46850045620931,1842.1440814192615,2156.7171566185866,46075.45979483206
29,2767.9136421238445,4359.6292444585006,56023.635570442762,8929.1045980434701,2323.2969740738563,10244.047504453645,7779.9921785507086,0,3502.119590372452,3503.0904290892699,99432.82973160851
30,1069.4799001761983,1858.058490013794,14733.259172774258,8502.9894207474736,1815.8017015605176,3641.332304610748,2617.8974754931405,40.258022260097142,2705.723983535534,1032.9119199244208,38017.71239109618
31,2074.9284102310708,1834.5067028051467,31036.452844203646,33543.58140347802,1868.687190290533,12850.036548523547,9431.982319459059,0,3946.0903154549951,2845.2001691928308,99431.46590363885
32,2154.3145930215624,5607.7718396108367,43585.269465268299,10951.905565113419,1622.714986713632,5956.4705682374642,3689.8792889468464,154.34653760782388,2205.9242329850504,3518.6316218184311,79447.22869932337
33,397.87783347889467,84.68864299207749,846.73060437470508,2818.2660772803488,601.49818273460198,720.4749144669305,89.220946166835631,0,365.29638253435866,201.61887091845904,6125.672454947211
34,221.32423835007384,393.02769447766764,10585.077589625831,7834.8656537712468,424.11335166208107,714.30017246858301,1089.8124031892276,0,658.42327985855059,128.67954923888354,22049.623932642146
35,1236.5412764359969,7452.6152187172002,45489.045441910792,22456.14281346885,3291.9023501220504,5427.3000034697443,5765.3681850899693,0,3850.0774591798822,1738.1019029376562,96707.09465133215
36,5192.9859648955708,7305.1436893091604,41437.057909960131,20513.99391243665,3213.508931815933,3188.6008801618582,5507.1376855937779,162.88655418847208,1010.3825151767347,1120.2594460574846,88651.95748959579
37,1452.0470334488209,961.95845928420113,11497.517098827984,4458.5064311652977,502.88768787793549,105.44014302920297,920.01226798626374,0,795.28527558071369,180.8930949958534,20874.54749219627
38,114.07466427492632,1898.1084879050159,3266.5460627384655,5463.7226606071272,201.0228385280804,107.69741571047516,311.63048757833644,0,81.012268540233705,0,11443.81488588266
39,1757.2000384448668,2599.234175758053,9467.405867168447,9380.9346131055718,634.25331648910253,5161.4778512293969,1117.8935261858653,0,1067.8921355240502,0,31186.29152390535
40,2005.5967023387213,3924.1481151256662,11009.464572205043,10820.768768202764,777.00649229377359,1413.4402194926897,869.11291594903423,0,1550.7189179095881,178.19358651486223,32548.450290032142
41,4032.4034954487593,6490.9204901941912,15604.948972351005,16177.85499719877,3019.066417595317,4669.0386554904389,3201.2650042224195,126.2829017667474,1847.2293816182639,0,55169.01031588591
42,2090.964443274318,3154.9673089097741,3802.1491227480815,3034.4726036383627,1490.91476498159,51.432201345939951,2508.4868933731418,0,1122.5271130832764,152.23164984799945,17408.14610120248
43,2774.6804742188579,8690.2890290811101,25569.592405101997,25044.028692122723,2619.773257694043,3867.9399286767439,2014.6894221711466,0,4281.7953186650357,1187.4406431103905,76050.22917084204
44,1304.6792083496941,4138.8329230713071,20614.503153008074,6319.2458681983999,806.17085727339679,12384.042950443058,1830.2305858461516,0,4190.8783909332833,1164.6258783717726,52753.20981549514
45,7327.2559924256702,5451.7349959356879,27959.102520775315,27839.698866209168,4790.357049649052,4885.8394953529296,3943.5892809554452,0,4863.8171087695182,594.82986204440385,87656.2251721172
46,3283.2729115794432,9556.8438925166847,14191.242770308028,23619.716524774558,1822.4865791622769,697.82329632480946,2388.7135118254141,324.54454878635198,1640.6822921497196,0,57525.32632742729
47,2055.1048864409599,4625.2012427107084,14808.253185360263,6674.3112746683191,1170.7341363465284,1234.3217009809778,1324.78384266792,0,542.73364226233662,0,32435.44391143801
