work_zone,formal_employee_jobs,informal_employee,public_employee,independent_professional,self_employed,employer,family_business_owner,family_worker,total_jobs
40,7525.056514857361,1602.1049820264166,0,631.6093777541791,2311.767305419983,40.2277050004703,33.3326667613631,0,12144.098551819776
41,13676.891647988648,910.1816493174957,278.58227367419,377.6640385594248,3477.8403963192595,3.70568354132999,316.861341149028,0,19041.72703054938
42,3748.107954350442,962.3480972566572,0,54.547701731539,2184.7164599400166,192.612522047556,67.3112517223653,0,7209.643987048576
43,19964.276410240425,1365.377673703426,587.787489538687,1615.1245539177062,5721.61236689865,551.0391302947088,343.5559714347074,32.8840983503133,30181.657694378624
44,9768.84214958227,1854.4164498833163,173.394193112374,408.6222755333808,5236.182960146891,511.31396952413706,1279.564068385946,0,19232.336066168315
45,22343.671555015822,1220.905469586346,1035.6610089811788,2385.847175666616,9109.976073700813,1082.0875113244226,20.218761166666,56.5504093286984,37254.91796477057
46,6704.045523862073,895.440074601482,49.3724137021442,590.2249013494564,4285.065753919064,599.455839712454,315.099751751564,0,13438.70425889824
47,3428.3052984143515,829.5185809322477,0,287.340673355678,3259.2024307466154,215.991346734993,677.3012434848034,0,8697.659573668689
48,5865.42355736521,247.2329106012118,1023.1486380499156,0,5990.459221931347,207.9376691849626,0,0,13334.201997132648
49,12957.913970111456,195.7882363897176,422.495928664061,601.5144455267562,4087.3372057962943,0,39.7181752834891,0,18304.76796177177
50,2146.0975016238726,0,127.11984937822,94.506589788534,1451.964457239177,0,0,0,3819.688398029803
51,4915.316610901765,496.122006718233,113.891235315301,529.6527650343457,2331.1964409144784,122.9564343543155,77.3478744176477,0,8586.483367656087
52,5520.805672576415,0,29.25566280084071,798.1421660966331,3233.953921802109,0,0,0,9582.157423276
53,13503.516722061191,84.113101375663,252.9005129585247,933.4710616609409,5440.36106457857,1276.48109059957,433.433967752892,0,21924.27752098735
54,20567.43230680509,528.6945745124573,2505.247918885802,1030.398249148031,2938.974293782052,71.9088974413456,131.0333366264402,0,27773.689577201218
55,7268.732454199032,887.1006440447914,95.5055082652486,913.2025951101435,5227.756000371612,711.3785393149401,0,779.1835388210972,15882.859280126864
56,12863.364904571594,1875.3666851124533,132.066943323933,343.8765660627829,5598.780908450398,187.770118576114,45.0963476596211,36.5726423876927,21082.895116144588
57,34729.19284471868,1234.88375375806,171.71057977554048,1261.8175666641594,7895.3197870023105,94.04454383701521,297.7388573323797,0,45684.70793308815
58,8477.163882060055,454.97553557277325,1180.6837249074492,375.0992920134883,7005.472298721953,278.8218068607773,0,0,17772.2165401365
59,16209.00640030786,2343.6786727457243,0,1212.7002044001547,7855.755582743599,322.289051951207,656.5803045035561,896.61667684536,29496.62689349746
60,8590.659324005972,2654.5838263279093,199.059354545751,589.6244596486559,4673.682976286896,468.29299383959903,6.45833333333333,0,17182.36126798811
61,11718.260746637332,1000.9396523046914,0,612.0629880812432,4526.786489528161,123.6616996692076,198.54381390179785,0,18180.25539012243
62,8079.590372125783,411.0990383785059,1435.8382732334426,274.2944590288493,5101.162001381658,98.87340288956572,32.5185066051825,0,15433.376053642984
63,11657.66435419422,58.2268887687725,1654.893417222755,317.409119655155,1209.1058559268713,0,0,0,14897.299635767771
64,27787.638557803926,2580.232023570927,61.4913865403908,926.9144229178314,10087.292259594498,656.4229685932423,55.261677728277,0,42155.25329674909
65,10664.711544956275,407.80119406008134,1217.35886999392,273.6835513562273,4774.308174870995,176.67182246993798,0,0,17514.53515770744
66,18020.440678671977,794.7050515652796,109.4334088884535,862.3105170924675,3565.624004856606,432.3492578010273,535.0476677651811,39.070072219603,24358.980658860593
67,8802.058260195421,904.5490331137158,0,404.92535762092274,1954.055717381567,122.1656213656687,30.9977199803885,104.7675565373455,12323.519266195028
68,61095.28883262926,2555.0938388458117,107.339061254664,2281.9823430184624,11868.818969685348,979.4409923155641,178.5332712899347,276.73291063308,79343.23021967213
69,31521.59123740746,1581.0537548518153,9.72222222222222,2089.715562901134,4771.293078737782,742.4862247127837,200.14772664268463,151.27496963618552,41067.28477711207
70,16975.391886220397,1092.3852156775586,45.6321643199701,597.0454406304407,5405.405111752928,120.6962993491661,409.83638847962504,0,24646.39250643008
71,16464.253180268137,923.4646964340607,160.881257903782,2427.27215426953,7528.383814200104,20.9425755578259,264.791872011049,0,27789.98955064449
72,23187.662463012555,30.4678249854638,0,674.3530046846934,3560.093947240051,361.6526833214832,0,0,27814.22992324425
73,130195.81947348193,4475.776359188287,0,1605.7769261869137,15542.769380856214,1509.350153316458,53.761275556551,0,153383.25356858637
74,42847.974349152486,586.3117786431876,529.1872388255495,2024.8018668881496,5573.884914147349,196.2270486974018,584.471802825159,0,52342.85899917928
