origin_zone,metro,train,bus,chartered_transport,school_transport,car_driver,car_passenger,conventional_taxi,ride_hailing,motorcycle_driver,motorcycle_or_mototaxi_passenger,bicycle,walking,other,total
110,6153.951457946562,9519.823136280416,27663.687762421945,0,4766.292882648106,16160.254925870557,3374.1622628062314,0,1312.940924592372,3108.940337837806,0,0,25431.505468361705,0,97491.55915876567
111,533.7015405687634,2003.650527480441,11407.976455885477,512.9701124809034,6606.678091168599,21759.329172317583,3353.0849357099855,0,5796.765491368224,7709.559486187539,0,0,12956.503631888265,0,72640.21944505576
112,832.7989122709528,1507.3996653596062,10503.23484616292,357.14849961244414,6625.994096247162,16818.976053241902,2840.3348564065873,0,354.64016830170806,3237.8772200775493,449.9042705668393,635.9183232970181,11620.718012748968,496.9225851937546,56281.86750948739
113,1515.3125959654712,1137.790915727248,8738.15444637641,1252.030087245614,3548.003090330696,18776.992737442397,6966.6592339501585,0,652.7395254334365,637.72648272859,0,390.4178764455268,15489.466450304042,0,59105.293441949616
114,,,,,,,,,,,,,,,
115,2799.0979361845366,2540.8022146385424,16864.91233122224,1188.7239648260536,13862.037101466654,12683.978243309191,9857.709246906361,0,2177.588751385827,2285.3426939713363,0,0,16386.89051838439,0,80647.08300229517
116,8976.054388630175,15131.504798237032,53813.56074204735,1629.0495586792033,24285.90345607781,24139.48475720308,12963.110450166872,0,1167.3080756374063,4906.204133340789,1005.474377537862,0,90704.83521325908,0,238722.4899508171
117,2342.704820629224,2923.472864697314,21269.155583738662,3209.843702068059,6538.433398509625,21063.237180470725,9546.973878372817,0,0,2711.996366390317,0,0,17559.93214818303,0,87165.7499430599
118,529.1663063236815,316.1946745066965,5115.93041251681,116.10042464569209,1596.1772861857048,1963.0993905755408,1372.1569711220611,0,0,1541.755009384054,0,0,9274.593395736436,0,21825.17387099668
119,6479.919988994634,10210.525421589144,27385.962209403795,1393.065269478158,14964.183481414086,18125.62069239347,4591.930568134921,0,1082.033358776875,1306.7476927574148,0,0,34439.59865059547,0,119979.58733353789
120,,,,,,,,,,,,,,,
121,4578.397399517218,1056.2968692651714,32494.873992075405,0,8116.297033887527,6509.11409096386,4438.025981132578,0,2685.776517571496,502.29906456687087,0,1601.4116126195038,43699.3885419508,0,105681.88110355048
122,2630.865086388283,1224.575362330387,21618.628630342893,0,2685.8403589742597,1742.7160230136928,748.288908068551,0,221.15051456893764,0,0,0,26312.866655714213,0,57184.931539401274
123,1934.7076718719793,1345.5632910425657,24400.21046407397,0,2639.0517567573015,9654.422604786127,5484.202791231605,0,1791.9582110578856,1419.6355516306637,0,0,26569.743580443486,0,75239.49592289556
124,2309.529929891435,638.9811013851945,20812.550532234098,0,7630.404072992997,12985.585552041664,11756.132317977075,0,598.1140804344273,1147.5439629204463,0,461.5369233678169,29804.141819527427,0,88144.52029277265
125,3879.617734825511,0,17922.29613644303,0,10019.385895329217,16796.65872139942,2804.802151457316,0,2177.588751385827,993.9336425093602,0,0,18745.114806064405,0,73339.39783941397
126,1825.1967790875424,381.53631943808995,17443.12388379979,0,2829.9862112934707,11348.95361964426,5349.962268194635,0,1333.3898264242257,2525.1390254236567,539.1042399539432,2310.513092788342,14418.69574473798,0,60305.60101078592
127,2244.574052487332,716.3324883436773,32215.37496167648,0,8786.694332739411,21080.23152598827,11185.161494909187,122.96516165134,4347.761984226211,4795.900137228304,90.51749058442584,190.57010594280325,27216.10238031788,0,112992.18611609522
128,5232.782818411406,0,5000.51034895533,0,241.77629369899864,6623.310198218454,2421.8083966182317,0,2941.3460007171216,177.47565458534376,0,100.3046901280961,835.4084909645093,410.28015625794467,23985.003048555423
