origin_zone,destination_industry_work,commerce_work,services_work,education,shopping,health,leisure,home,job_search,personal_business,meal,total
112,472.30669355845822,5169.4089325269706,8976.5208734347234,9210.212677042251,486.75793247860986,3011.3199977149366,594.46066246040482,27378.762288919159,0,982.11745135189199,0,56281.867509487405
113,1514.3582625153313,4333.4233539897859,4472.9423174484373,9319.0839140040571,2128.6302380568163,1215.7303001257274,1674.415861724457,33210.836550935397,0,1069.8965006355463,165.97614251404312,59105.2934419496
114,-,-,-,-,-,-,-,-,-,-,-,0
115,2165.8312418560208,2385.4579604252613,12615.97823686138,14120.15570829866,5714.8346211785638,6258.0445653910429,2842.8744127165055,32428.926036918223,0,2114.9802186494776,0,80647.08300229513
116,6766.2119275160212,11800.796207633122,52302.04947685526,71417.599322936774,725.54456195203306,1101.9521820034465,556.26183399672323,89293.034782388553,792.72189086690514,3966.3177646678591,0,238722.4899508167
117,3629.0663799093313,2096.2405258234317,21698.038351667863,13863.386281500516,1734.8389264970742,5013.7632219931475,1210.295508589061,34839.603270665692,0,3080.5174764136686,0,87165.7499430598
118,432.64693690452435,1998.18711923513,2426.8617339377383,6523.3318978132847,329.55584550888204,701.55886139595111,0,8908.7609522925304,0,504.27052390863889,0,21825.17387099668
119,1473.3294648611259,7216.579485747262,20047.922968768791,32046.462872804972,1498.5536804862597,3830.5769833397853,0,52096.931042542463,0,1769.2308349872917,0,119979.58733353794
120,-,-,-,-,-,-,-,-,-,-,-,0
121,8214.3412983524922,7526.4205590943775,19569.08226943358,24733.565117513484,1278.0407409478958,2816.7598292986727,98.858618527446637,36993.390714421439,0,4451.4219559611047,0,105681.88110355048
122,1904.2997424530067,6007.4884113818816,9588.3510858398513,20989.789396169192,337.8551061505554,304.81324408937388,304.81324408937388,16915.099216932918,0,832.42209229506011,0,57184.931539401216
123,3030.3387435808854,4325.7877641422183,18184.760548433555,25843.785395839874,0,600.3818830739333,3054.8694331765437,19069.237310633205,0,1130.3348440153677,0,75239.49592289558
124,1378.4555088469479,8213.462667743961,15232.651236145844,20749.18270229398,2145.7518509651745,1555.3408602165559,316.50967311917304,37479.655330152927,0,1073.5104632880198,0,88144.52029277259
