origin_zone,public_transport_a,individual_transport_b,motorized_a_b,non_motorized_c,total_a_b_c
285,45151.597675623474,27594.013267693525,72745.610943317,25677.237029916865,98422.84797323387
286,24190.103268478379,14004.758836195502,38194.862104673884,3303.7994395604564,41498.66154423434
287,22974.136579712711,24529.498370657293,47503.63495037,9922.996627347884,57426.63157771789
288,17483.725241900829,22886.78555592171,40370.51079782254,13175.320065188103,53545.83086301065
289,34374.774093754168,33706.788609512252,68081.56270326642,17023.198344060394,85104.76104732681
290,42078.024573632349,16674.989139514641,58753.01371314699,10934.569799362924,69687.58351250991
291,45185.079740576373,25352.212360487687,70537.29210106406,17057.68516251808,87594.97726358214
292,33478.330267833007,16289.163562912305,49767.49383074531,36320.40269002733,86087.89652077264
293,33822.277520500596,16431.912789387778,50254.19030988838,23428.520093938205,73682.71040382658
294,40777.489734412869,15485.989965383227,56263.479699796095,49283.00028652259,105546.47998631868
295,62861.937927696184,23217.386912300855,86079.32483999705,56285.4194532204,142364.74429321743
296,3436.8978821056439,2099.5468884394431,5536.4447705450875,2634.970785209792,8171.41555575488
297,3163.7956527047386,4024.3980772717096,7188.193729976449,283.83696615063656,7472.030696127084
298,102011.17718301891,33786.278164641684,135797.45534766058,76860.45324669319,212657.90859435376
299,5889.8126928135334,2090.7184232412478,7980.531116054781,858.8794313634411,8839.410547418222
300,102.04200587907086,10.279284804018989,112.32129068308984,0,112.32129068308984
301,85063.338604605698,68176.155563516048,153239.49416812175,18962.777930423126,172202.27209854487
302,23011.486628014194,22783.117187932334,45794.60381594653,4532.106548824477,50326.710364771
303,44030.955605923686,27410.612519346698,71441.56812527038,7176.519398742748,78618.08752401311
304,30637.903270749459,19767.918370293173,50405.82164104263,3260.4162465266404,53666.237887569274
305,59983.55377732106,34912.053224995725,94895.60700231678,33570.16066141835,128465.76766373514
306,64570.131394435812,38355.045532264274,102925.17692670008,64803.96070918817,167729.13763588824
307,43309.123546996081,19531.282955929088,62840.406502925165,17424.499504970594,80264.90600789576
308,58278.823619706753,21459.386931323843,79738.2105510306,53238.527560335824,132976.73811136643
309,24737.042877891883,11103.791494569687,35840.83437246157,31476.498905851033,67317.33327831261
310,35057.765332931172,6869.1500992670271,41926.9154321982,27712.06339389275,69638.97882609096
311,9330.0769467094324,2969.1193064503323,12299.196253159764,19652.683681608236,31951.879934768
312,49029.393410513774,24890.771754765974,73920.16516527974,45243.50491215066,119163.6700774304
313,27653.651030321453,26844.142904415985,54497.793934737434,26015.873819721382,80513.66775445882
314,17693.125837280953,7798.6439229395946,25491.769760220548,10189.495727159505,35681.26548738005
315,47120.2226389106,28977.710602449009,76097.93324135961,41998.30810426767,118096.24134562728
316,55846.307588128555,23776.215541041754,79622.52312917031,57028.611670754115,136651.13479992442
317,14445.799037065075,22296.935917002345,36742.73495406742,4887.449621707866,41630.18457577528
318,3824.915181085883,11845.197476422212,15670.112657508096,629.6094858465038,16299.7221433546
319,13832.780059506009,24206.364882046364,38039.144941552375,5031.619950830771,43070.764892383144
320,10565.750355239294,27564.441967449391,38130.19232268869,2059.1207538944727,40189.31307658316
321,29271.614315511481,28027.264373279108,57298.878688790595,53570.95490247496,110869.83359126556
322,23965.387369604574,44465.543131424922,68430.93050102949,13906.378882103689,82337.30938313318
323,25895.258228590683,52939.585288245333,78834.84351683602,7454.238819181704,86289.08233601772
324,45270.907470051672,27841.612658859402,73112.52012891107,23533.233216827844,96645.75334573892
325,33941.036774784632,19330.745002371626,53271.781777156255,39405.318879357095,92677.10065651336
326,24215.54541197397,30939.970758871303,55155.51617084527,23287.024102836316,78442.54027368159
327,27505.527943021316,21498.222662916876,49003.75060593819,24704.946417647443,73708.69702358564
328,8019.4158587986331,22371.116424973094,30390.532283771725,2749.7538828009965,33140.286166572725
329,10818.196337196538,15769.110682047638,26587.307019244177,3919.7824130938266,30507.089432338
330,19923.997774629363,29097.998270418022,49021.996045047395,8479.16880292761,57501.164847975
