destination_zone,metro,train,bus,chartered_transport,school_transport,car_driver,car_passenger,conventional_taxi,ride_hailing,motorcycle_driver,motorcycle_or_mototaxi_passenger,bicycle,walking,other,total
71,12559.80312210578,1062.5630628444933,7751.353895824526,0,1978.3869414752303,24800.159082650865,3713.7813478357352,191.86614171005604,4690.629237361299,1227.0068821380278,0,8996.255063007804,13517.761071569506,0,80489.56584852327
72,5199.11076006896,1570.4048628585465,5148.354671722064,265.73444058225675,2340.583919374349,13791.39161043848,2665.6437219730574,423.912881010107,2288.0533520260583,1562.1936807206573,40.4996231550819,557.1384618335454,3648.9116433646223,0,39501.933629127816
73,17428.35089006604,23869.70503452783,19386.43787201038,1908.136566676134,385.4513747034193,50205.587359123725,5419.203810956484,830.2506316173774,4831.651632498837,3777.460434594699,188.49722631412956,2460.652905435302,22272.7030432325,335.33710123675235,153299.42588299362
74,31307.749824935276,0,8682.860657223115,214.64722049978892,539.50936424211,14604.06508249018,1143.9745456867838,1147.1844700908346,2528.2213675934913,2462.267523398566,0,531.2213700435358,9637.881142535114,0,72799.5825687388
75,4456.071568037212,611.8203059336051,3293.790413600586,0,1090.8110749543416,7346.6900221808355,1660.5019967019443,753.7322751836514,1002.2037611977892,1558.4153308047512,0,818.4318514605901,4702.346255176504,0,27294.814855231816
76,5158.296249227491,515.690296619287,6539.375323439372,21.39233438769447,384.26292788853215,9048.593766237165,1665.5177514292698,559.6651157373727,1637.1240201688329,852.9033440906775,0,908.2303689002441,3479.4545314706947,0,30770.50602959664
77,21463.644271548692,934.5435066712586,16596.690256431266,1605.9262901101963,1583.61990281139,16231.509829143526,4244.8529254860805,1230.5000029980067,7459.290179320314,1930.361554725554,0,718.0711651788602,11829.871922372226,0,85828.88180679748
78,12704.894006854878,0,4804.079539394752,0,852.5835078062479,8574.88294057114,2407.358738319698,1203.1708691639878,2959.8874076248626,1384.379445484693,0,474.93777476880206,9598.0646879219,0,44964.23891791095
79,27192.24655958148,0,13365.407547798448,204.27341429736424,1220.0382668266086,17010.823680919682,6578.448808934693,345.2017567964501,1704.812186984546,791.8102869719352,0,219.58846084217504,11796.542508301773,79.00515341524411,80508.19863167034
80,10241.008737996544,451.79503789215823,10241.323229149535,32.44741558057846,2525.319533395933,13698.250478192347,2750.9068225378046,574.7867711888009,3831.8176196136505,1499.2804699584324,0,1391.7534846576957,11678.777302947969,0,58917.466903111475
