destination_zone,public_transport_a,individual_transport_b,motorized_a_b,non_motorized_c,total_a_b_c
262,32342.274133877145,11867.073463831037,44209.34759770818,29484.534909492784,73693.88250720096
263,27496.342113232393,22565.953002452068,50062.295115684465,44508.72246304602,94571.01757873048
264,40646.231500849193,44461.199961026221,85107.43146187541,30367.572170071908,115475.00363194731
265,27931.260483809023,24115.041302880374,52046.30178668939,29272.02167448775,81318.32346117715
266,8778.1503026904174,9304.3363000214413,18082.48660271186,9010.962912848776,27093.449515560635
267,13076.333038250275,22566.902451564376,35643.23548981465,22199.04778188799,57842.28327170265
268,10061.259642979849,15111.670205426944,25172.92984840679,3417.774876275625,28590.704724682415
269,12694.544927899098,30345.030426930869,43039.57535482997,14834.783068828903,57874.35842365887
270,5572.6977826140146,14216.27116127097,19788.968943884985,4544.858083123561,24333.82702700855
271,7236.5285119996452,7486.3566189376079,14722.885130937251,542.0936932539845,15264.978824191236
272,12840.119781547937,22177.988391061856,35018.10817260979,5479.054812583229,40497.16298519302
273,33269.727449802915,31826.814450884889,65096.54190068781,23743.099769021726,88839.64166970953
274,48064.671863540614,38662.411160061536,86727.08302360214,11960.594119994992,98687.67714359713
275,32920.824612377211,28604.672723785159,61525.49733616237,14789.84047093328,76315.33780709565
276,45289.244705874764,62183.466559965091,107472.71126583984,33961.25212928147,141433.96339512133
277,17145.582959415373,44709.798307890771,61855.38126730615,8686.972638167097,70542.35390547324
