residence_zone,male,female,no_response,total
189,24899.555184888817,25005.444815111205,0,49905.00000000002
190,22116.284115454691,14190.715884545307,0,36307
191,-,-,-,0
192,17771.618995190005,20051.381004809995,0,37823
193,10661.193476656787,14509.806523343212,0,25171
194,12081.921073274101,14526.078926725902,0,26608.000000000004
195,17289.599933599377,23098.400066400605,0,40387.999999999985
196,14167.528836285455,19432.47116371453,0,33599.999999999985
197,10329.761795843186,13065.238204156822,0,23395.000000000007
198,13550.753360297935,12478.246639702058,0,26028.999999999993
199,41648.389534752467,57985.610465247439,0,99633.99999999993
200,13988.286766148349,19001.713233851675,0,32990.00000000002
201,30511.559585447078,38617.440414552999,0,69129.00000000007
202,33885.98840096817,40827.999605750774,325.01199328103399,75038.99999999999
203,22788.102830670177,30267.897169329804,0,53055.999999999985
204,66416.102952647445,49003.897047352584,0,115420.00000000004
205,51400.507731537451,46108.492268462614,0,97509.00000000006
206,18738.189672749722,20703.810327250259,0,39441.999999999985
