household_id,family_id,first_family_record,family_expansion_factor,family_number,family_resident_count,housing_tenure,bathroom_count,domestic_employee_count,car_count,computer_count,dishwasher_count,single_door_refrigerator_count,freezer_count,washing_machine_count,dvd_count,microwave_count,motorcycle_count,clothes_dryer_count,bicycle_count,comfort_items_declaration,brazil_economic_class,brazil_economic_score,car_1_year,car_2_year,car_3_year,family_monthly_income,family_income_code
14700187,147001871,1,204.294118,1,3,1,1,0,0,1,0,1,1,1,1,1,0,0,1,N,4,25,,,,6685,1
14700190,147001901,1,204.294118,1,2,2,1,0,1,1,0,1,1,1,0,1,1,0,0,N,4,28,2018,,,5779.08,3
14700230,147002301,1,204.294118,1,3,2,1,0,0,0,0,1,0,1,0,1,0,0,0,N,5,19,,,,3077.89,3
14700244,147002441,1,204.294118,1,5,2,0,0,1,1,0,1,1,1,0,1,0,0,2,N,4,27,2018,,,5388.38,3
14700251,147002511,1,204.294118,1,1,2,3,0,1,0,0,1,1,1,0,1,0,0,1,N,3,34,2014,,,5000,1
14700276,147002761,1,204.294118,1,2,2,2,0,1,1,0,1,1,1,0,1,0,0,0,N,3,34,2009,,,8795.54,3
14700287,147002871,1,204.294118,1,3,1,1,0,0,0,0,1,1,1,0,1,0,0,0,N,5,21,,,,3500,1
14700297,147002971,1,204.294118,1,3,2,1,0,1,1,0,1,1,1,0,1,1,0,1,N,4,25,2002,,,4684.43,3
14700306,147003061,1,204.294118,1,1,2,1,0,1,1,0,1,0,0,0,1,0,0,0,N,4,23,2015,,,4072.45,3
14700325,147003251,1,204.294118,1,5,2,2,0,1,2,0,1,1,1,0,1,0,0,2,N,3,34,2021,,,8795.54,3
14700365,147003651,1,204.294118,1,2,2,2,0,1,0,0,1,1,1,0,1,0,0,0,N,3,31,2013,,,4500,1
14700392,147003921,1,204.294118,1,2,1,1,0,1,1,0,1,1,1,0,1,1,0,0,N,4,28,2010,,,5779.08,3
14700415,147004151,1,204.294118,1,1,1,1,0,0,0,0,1,1,1,1,1,0,0,0,N,5,22,,,,3797.13,3
14700426,147004261,1,204.294118,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,N,5,17,,,,2675.79,3
14700499,147004991,1,204.294118,1,1,2,1,0,0,0,0,1,1,1,0,1,0,0,0,N,5,17,,,,2675.79,3
14700596,147005961,1,204.294118,1,2,1,1,0,1,1,0,1,1,1,0,0,0,0,0,N,4,23,2009,,,1450,1
14700668,147006681,1,204.294118,1,4,2,4,0,1,1,0,1,1,1,0,1,0,1,1,N,2,43,2015,,,32000,1
14700734,147007341,1,204.294118,1,5,2,2,0,1,1,0,1,1,1,0,1,0,0,2,N,3,31,2012,,,2820,1
14700786,147007861,1,204.294118,1,2,1,1,0,1,1,0,1,1,1,0,1,0,0,1,N,4,27,2009,,,6800,1
14800001,148000011,1,149.705882,1,2,2,3,0,1,0,0,1,1,1,0,1,0,0,1,N,3,29,2000,,,6198.11,3
14800004,148000041,1,149.705882,1,3,2,1,0,1,0,0,1,0,1,0,1,0,0,0,N,5,18,2005,,,4424,1
14800006,148000061,1,149.705882,1,3,2,3,0,1,0,0,2,1,1,0,1,0,1,0,N,3,31,2022,,,7129.53,3
14800008,148000081,1,149.705882,1,3,2,1,0,0,1,0,1,1,1,1,1,0,0,0,N,4,28,,,,3960,1
14800009,148000091,1,149.705882,1,4,2,2,0,1,0,0,1,1,1,0,0,1,0,4,N,4,27,2008,,,3000,1
14800010,148000101,1,149.705882,1,3,2,4,1,2,1,0,1,2,1,0,1,0,0,1,N,1,45,2023,2019,,18996.31,3
14800011,148000111,1,149.705882,1,2,2,4,0,1,1,1,1,1,1,1,1,1,1,0,N,1,48,2022,,,12000,1
14800012,148000121,1,149.705882,1,2,2,1,0,1,1,1,2,2,1,0,1,3,0,1,N,3,36,2003,,,21000,1
14800013,148000131,1,149.705882,1,4,2,1,0,1,3,0,1,1,1,1,1,0,0,0,N,3,33,2010,,,4400,1
14800014,148000141,1,149.705882,1,3,2,4,0,9,8,1,1,0,1,1,1,0,0,4,N,1,56,2007,2000,1998,14000,1
14800015,148000151,1,149.705882,1,2,1,1,0,0,1,0,1,1,1,1,1,0,0,0,N,4,25,,,,5280,1
14800017,148000171,1,149.705882,1,3,2,3,0,1,1,1,1,1,1,0,1,0,0,2,N,3,37,2011,,,7000,1
14800019,148000191,1,149.705882,1,4,2,2,0,2,2,0,1,1,1,0,1,0,0,0,N,2,39,2017,2017,,12481.46,3
